"index"	"image_path"	"hint"	"question"	"answer"	"category"
"287"	"Data/Source 1/Downstairs laundry room/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact number ""26.9"" on the trash bin specifically indicating its temperature?"	"No"	"Numerical Text Reference Understanding"
"288"	"Data/Source 1/Downstairs laundry room/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any visible non-numerical text on the image?"	"Yes"	"Non-Numerical Text Reference Understanding"
"289"	"Data/Source 1/Downstairs laundry room/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""FLIR"" at the bottom left corner specifically referring to a thermal imaging brand?"	"Yes"	"Non-Numerical Text Reference Understanding"
"290"	"Data/Source 1/Downstairs laundry room/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""FLIR"" at the top of the washer and dryer combo machine specifically referring to its brand?"	"No"	"Non-Numerical Text Reference Understanding"
"291"	"Data/Source 1/Downstairs laundry room/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""ELIR"" at the bottom left corner specifically referring to a thermal imaging brand?"	"No"	"Non-Numerical Text Reference Understanding"
"292"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any color-to-temperature scale bar on the image?"	"No"	"Temperature to Color Mapping Understanding"
"293"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the following sequence of colors correctly representing temperature distribution from low to high: blue, purple, orange, yellow?"	"Yes"	"Temperature to Color Mapping Understanding"
"294"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the following sequence of colors correctly representing temperature distribution from low to high: blue, purple, yellow, orange?"	"No"	"Temperature to Color Mapping Understanding"
"295"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the following sequence of colors correctly representing temperature distribution from low to high: purple, blue, orange, yellow?"	"No"	"Temperature to Color Mapping Understanding"
"296"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the thermal image viewpoint exactly the same as the RGB image viewpoint without any noticeable shift or zoom?"	"No"	"RGB-Thermal-Heatmap Alignment"
"297"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the thermal image viewpoint slightly to the left of the RGB image viewpoint?"	"Yes"	"RGB-Thermal-Heatmap Alignment"
"298"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the thermal image, should the heatmap be shifted downward to correctly match the positions of black edges of the objects?"	"Yes"	"RGB-Thermal-Heatmap Alignment"
"299"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the thermal image, should the heatmap be zoomed out to correctly match the positions of black edges of the objects?"	"No"	"RGB-Thermal-Heatmap Alignment"
"300"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Are the cabinets in the thermal image showing a mostly uniform temperature distribution?"	"Yes"	"Instance Thermal Attribute"
"301"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the trash bin in the thermal image showing a warmer center compared to its edges?"	"No"	"Instance Thermal Attribute"
"302"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the dryer machine in the thermal image showing a gradual temperature gradient from warm to cold?"	"No"	"Instance Thermal Attribute"
"303"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the piece of fabric hanging on the cabinet in the thermal image showing a cold spot concentrated on its top?"	"Yes"	"Instance Thermal Attribute"
"304"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the trash bin in the thermal image hotter than the countertop?"	"Yes"	"Relative Thermal Attribute"
"305"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Are the cabinets in the thermal image colder than the washing machine?"	"No"	"Relative Thermal Attribute"
"306"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the sink area in the thermal image warmer than the stacked dryer?"	"No"	"Relative Thermal Attribute"
"307"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the towel hanging from the cabinet showing a lower temperature than the trash bin?"	"Yes"	"Relative Thermal Attribute"
"308"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the trash bin the warmest area in this scene?"	"No"	"Warmest Areas Detection"
"309"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the door the warmest area in this scene?"	"Yes"	"Warmest Areas Detection"
"310"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the washer and dryer the warmest area in this scene?"	"Yes"	"Warmest Areas Detection"
"311"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the floor drain the warmest area in this scene?"	"No"	"Warmest Areas Detection"
"312"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the floor drain the coldest area in this scene?"	"No"	"Coldest Areas Detection"
"313"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Are the cabinets the coldest area in this scene?"	"No"	"Coldest Areas Detection"
"314"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the area under cabinets the coldest area in this scene?"	"Yes"	"Coldest Areas Detection"
"315"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the washing machine the coldest area in this scene?"	"No"	"Coldest Areas Detection"
"316"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the stacked dryer showing signs of a thermal anomaly that suggests overheating?"	"No"	"Risk and Anomaly Detection"
"317"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Can the cold area under the cabinets be a sign of water ingress?"	"Yes"	"Risk and Anomaly Detection"
"318"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the paper towel holder showing a temperature anomaly that suggests fire risk?"	"No"	"Risk and Anomaly Detection"
"319"	"['Data/Source 1/Downstairs laundry room/rgb.jpg', 'Data/Source 1/Downstairs laundry room/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the trash bin showing signs of a thermal anomaly that suggests overheating?"	"No"	"Risk and Anomaly Detection"
"320"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this image showing a kitchen area?"	"No"	"Scene Understanding"
"321"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this image taken in a bathroom?"	"Yes"	"Scene Understanding"
"322"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Does this image depict a living room setup?"	"No"	"Scene Understanding"
"323"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this an image of a bedroom?"	"No"	"Scene Understanding"
"324"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there a toilet in the image?"	"Yes"	"Detailed Object Presence"
"325"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there shelves visible in the scene?"	"Yes"	"Detailed Object Presence"
"326"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there a bathtub present in the image?"	"No"	"Detailed Object Presence"
"327"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there a children potty in the image?"	"Yes"	"Detailed Object Presence"
"328"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the toilet made of ceramic material?"	"Yes"	"Instance Attributes"
"329"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are the tiles on the wall behind the toilet small and square-shaped?"	"Yes"	"Instance Attributes"
"330"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the children potty white and gray in color?"	"Yes"	"Instance Attributes"
"331"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are the shelves made of metal?"	"No"	"Instance Attributes"
"332"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the toilet located in the bottom left of the image?"	"Yes"	"Instance Location w.r.t. Image"
"333"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the children potty positioned in the bottom right of the image?"	"Yes"	"Instance Location w.r.t. Image"
"334"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are the shelves located from bottom-right to top-right side of the image?"	"No"	"Instance Location w.r.t. Image"
"335"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the artificial flower pot located at the top of the image?"	"Yes"	"Instance Location w.r.t. Image"
"336"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the toilet positioned to the left of the children potty?"	"Yes"	"Instance Spatial Relation"
"337"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are the shelves located directly above the toilet?"	"No"	"Instance Spatial Relation"
"338"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the artificial flower pot on the second shelf from the top?"	"Yes"	"Instance Spatial Relation"
"339"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the shelves placed to the right of the children potty?"	"No"	"Instance Spatial Relation"
"340"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there two toilets visible in the image?"	"No"	"Instance Counting"
"341"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there only one children potty in the image?"	"Yes"	"Instance Counting"
"342"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Are there six shelves visible in the image?"	"Yes"	"Instance Counting"
"343"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there exactly one artificial flower pot in the image?"	"Yes"	"Instance Counting"
"344"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the children potty placed on top of the toilet?"	"No"	"Instance Interaction"
"345"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the shelf attached to the wall?"	"No"	"Instance Interaction"
"346"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the children potty leaning against the shelves?"	"No"	"Instance Interaction"
"347"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the toilet separate from the children potty?"	"Yes"	"Instance Interaction"
"348"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any visible number on the image?"	"Yes"	"Numerical Text Reference Understanding"
"349"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact number ""25.9"" below the white point specifically referring to humidity of the bathroom?"	"No"	"Numerical Text Reference Understanding"
"350"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact number ""25.9"" below the white point specifically referring to the temperature of the center of the image?"	"Yes"	"Numerical Text Reference Understanding"
"351"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact number ""259"" below the white point specifically referring to the temperature of the center of the image?"	"No"	"Numerical Text Reference Understanding"
"352"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any visible non-numerical text on the image?"	"Yes"	"Non-Numerical Text Reference Understanding"
"353"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""FLIR"" at the bottom left corner specifically referring to a thermal imaging brand?"	"Yes"	"Non-Numerical Text Reference Understanding"
"354"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""FLIR"" at the center of the image specifically referring to the toilet brand?"	"No"	"Non-Numerical Text Reference Understanding"
"355"	"Data/Source 1/Downstairs Toilet/rgb.jpg"	"Based on this image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is this correct: there is the exact text ""ELIR"" at the bottom left corner specifically referring to a thermal imaging brand?"	"No"	"Non-Numerical Text Reference Understanding"
"356"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is there any color-to-temperature scale bar on the image?"	"No"	"Temperature to Color Mapping Understanding"
"357"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the following sequence of colors correctly representing temperature distribution from low to high: black, blue, purple, orange, yellow, white?"	"Yes"	"Temperature to Color Mapping Understanding"
"358"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the following sequence of colors correctly representing temperature distribution from low to high: black, blue, purple, orange, white, yellow?"	"No"	"Temperature to Color Mapping Understanding"
"359"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the following sequence of colors correctly representing temperature distribution from low to high: black, purple, blue, orange, yellow, white?"	"No"	"Temperature to Color Mapping Understanding"
"360"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the thermal image viewpoint exactly the same as the RGB image viewpoint without any noticeable shift or zoom?"	"No"	"RGB-Thermal-Heatmap Alignment"
"361"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Is the thermal image viewpoint slightly above and to the right of the RGB image viewpoint?"	"Yes"	"RGB-Thermal-Heatmap Alignment"
"362"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the thermal image, should the heatmap be shifted downward to correctly match the positions of black edges of the objects?"	"Yes"	"RGB-Thermal-Heatmap Alignment"
"363"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"In the thermal image, should the heatmap be zoomed out to correctly match the positions of black edges of the objects?"	"No"	"RGB-Thermal-Heatmap Alignment"
"364"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the toilet in the thermal image showing a cooler temperature distribution at its upper area?"	"Yes"	"Instance Thermal Attribute"
"365"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the children potty in the thermal image showing a warmer bottom compared to its upper area?"	"No"	"Instance Thermal Attribute"
"366"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the shelf in the thermal image showing a warmer temperature at its top than its bottom?"	"Yes"	"Instance Thermal Attribute"
"367"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the floor in the thermal image showing a cold spot close to the toilet paper?"	"No"	"Instance Thermal Attribute"
"368"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the toilet cooler than the children potty in the thermal image?"	"Yes"	"Relative Thermal Attribute"
"369"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the floor warmer than the artificial flower pot in the thermal image?"	"No"	"Relative Thermal Attribute"
"370"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the shelf warmer than the children potty in the thermal image?"	"Yes"	"Relative Thermal Attribute"
"371"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the toilet warmer than the wall tiles behind it in the thermal image?"	"No"	"Relative Thermal Attribute"
"372"	"['Data/Source 1/Downstairs Toilet/rgb.jpg', 'Data/Source 1/Downstairs Toilet/thermal.jpg']"	"Based on these two images, and the fact that the second image is the thermal image taken from the same scene as the first image, answer the following question with strictly either ""Yes"" or ""No"", without any extra explanation."	"Consider the fact that the heatmap in the thermal image should be shifted slightly downward to align with the edges of the objects. Is the floor the warmest area in this scene?"	"No"	"Warmest Areas Detection"
